Country,nij_lr,nij_lroe,nij_qs,nij_sir,nij_coki,pref_lr,pref_lroe,pref_sir,pref_qs,pref_coki
Saudi Arabia,16,16,28,39,56,1.77,1.77,1.28,2.67,0.58
Senegal,0,0,1,2,13,0,0,0.64,0.92,1.31
Serbia,4,4,2,6,45,1.12,1.12,0.5,0.48,1.19
Seychelles,0,0,0,0,1,0,0,0,0,1.61
Sierra Leone,0,0,0,1,3,0,0,1.28,0,1.21
Singapore,3,3,4,8,38,0.92,0.92,0.73,1.06,1.1
Sint Maarten,0,0,0,0,2,0,0,0,0,1.61
Slovakia,3,3,4,17,31,0.89,0.89,1.5,1.02,0.86
Slovenia,2,2,2,5,38,0.7,0.7,0.52,0.6,1.25
Solomon Islands,0,0,0,0,2,0,0,0,0,1.61
Somalia,0,0,0,0,14,0,0,0,0,1.61
South Africa,11,11,13,23,42,1.88,1.88,1.17,1.92,0.68
South Korea,51,51,45,102,295,1.6,1.6,0.96,1.22,0.88
South Sudan,0,0,0,0,4,0,0,0,0,1.61
Spain,47,47,44,78,131,2.32,2.32,1.15,1.88,0.61
Sri Lanka,0,0,4,12,23,0,0,1.57,1.52,0.95
Sudan,0,0,0,5,49,0,0,0.47,0,1.46
Suriname,0,0,0,0,1,0,0,0,0,1.61
Svalbard and Jan Mayen,0,0,0,0,1,0,0,0,0,1.61
Sweden,13,13,16,30,45,1.9,1.9,1.31,2.02,0.62
Switzerland,8,8,11,19,89,1.01,1.01,0.72,1.2,1.06
Syria,0,0,1,3,15,0,0,0.81,0.78,1.27
Taiwan,23,23,40,71,147,1.29,1.29,1.19,1.95,0.78
Tajikistan,0,0,0,0,13,0,0,0,0,1.61
Tanzania,0,0,1,5,33,0,0,0.65,0.38,1.37
Thailand,9,9,18,33,132,0.77,0.77,0.84,1.32,1.06
Togo,0,0,0,1,2,0,0,1.7,0,1.08
Tonga,0,0,0,0,1,0,0,0,0,1.61
Trinidad and Tobago,0,0,0,1,3,0,0,1.28,0,1.21
Tunisia,4,4,7,18,40,0.94,0.94,1.26,1.42,0.88
Turkey,40,40,36,144,227,1.41,1.41,1.51,1.09,0.75
Turkmenistan,0,0,0,0,2,0,0,0,0,1.61
Turks and Caicos Islands,0,0,0,0,1,0,0,0,0,1.61
Uganda,1,1,1,8,30,0.42,0.42,1,0.36,1.18
Ukraine,0,0,17,61,239,0,0,0.98,0.79,1.22
United Arab Emirates,3,3,10,24,50,0.57,0.57,1.36,1.64,0.9
United Kingdom,63,63,98,127,356,1.53,1.53,0.92,2.05,0.81
United States,206,206,238,566,2688,0.9,0.9,0.74,0.9,1.11
United States Virgin Islands,0,0,0,0,1,0,0,0,0,1.61
Uruguay,1,1,1,2,9,1.22,1.22,0.73,1.06,1.04
Uzbekistan,0,0,7,20,58,0,0,1.2,1.22,1.1
Venezuela,0,0,2,4,33,0,0,0.52,0.76,1.37
Vietnam,3,3,10,46,135,0.26,0.26,1.19,0.75,1.11
Yemen,0,0,0,8,22,0,0,1.36,0,1.18
Zambia,0,0,0,2,13,0,0,0.68,0,1.4
Zimbabwe,0,0,1,4,16,0,0,0.97,0.7,1.23
