ror,lr,lroe,coki,qs,sir
004s18446,0,0,1,0,0
004s6ct47,0,0,1,0,0
004sqv102,0,0,1,0,0
004srrf86,0,0,1,0,0
004sxt390,0,0,1,0,0
004th3s59,0,0,1,0,0
004tze884,0,0,1,0,0
004wf8x96,0,0,1,0,0
004wnty12,0,0,1,0,0
004xzjm20,0,0,1,0,0
004y1jf02,0,0,1,0,0
004y7f915,0,0,1,1,1
004y9tt39,0,0,1,0,0
004ymxd45,0,0,1,0,1
004z16v08,0,0,1,0,0
004z6x951,0,0,1,0,0
004ze6w33,0,0,1,0,1
004zrqc30,0,0,1,0,0
005059r08,0,0,1,0,0
0051kz410,0,0,1,0,0
0051rme32,1,1,1,1,0
0051w2v06,1,1,1,1,0
00520ze08,0,0,1,0,0
00521fv82,0,0,1,0,1
00523a319,0,0,1,0,0
0052k0e03,0,0,1,1,0
0052mmx10,0,0,1,0,1
0052qvr31,0,0,1,0,0
0052t3h27,0,0,1,0,0
0053n5071,0,0,1,0,0
0053vmf39,0,0,1,0,0
0053y3939,0,0,1,0,0
0054vex45,0,0,1,0,0
0055k7a87,0,0,1,0,0
00560h931,0,0,1,0,0
00561gr17,0,0,1,0,0
00567j574,0,0,1,0,0
0056df569,0,0,1,0,0
0056fa628,0,0,1,0,0
0056jkv70,0,0,1,0,0
0056pyw12,0,0,1,0,1
0056x7z10,0,0,1,0,0
00571jt67,0,0,1,0,0
005781934,1,1,1,1,1
0057ag334,0,0,1,0,0
0057ax056,1,1,1,1,1
00582g326,1,1,1,1,0
0058wy590,0,0,1,0,0
0058xhs49,0,0,1,0,0
0058xky36,0,0,1,0,1
0059h1f24,0,0,1,0,0
0059w0420,0,0,1,0,1
005aghs32,0,0,1,0,0
005aym849,0,0,1,0,0
005azck40,0,0,1,0,0
005bfja03,0,0,1,0,0
005bjd415,0,0,1,1,0
005bty106,0,0,1,0,1
005bw2d06,0,0,1,0,1
005c60751,0,0,1,0,0
005cgg117,0,0,1,0,0
005d8s603,0,0,1,0,0
005da4z68,0,0,1,0,0
005dgnw92,0,0,1,0,0
005dkht93,0,0,1,0,0
005e63s11,0,0,1,0,0
005edt527,1,1,1,0,1
005eqmw78,0,0,1,0,0
005et7b18,0,0,1,0,0
005ezrx44,0,0,1,0,0
005f4y685,0,0,1,0,0
005f5hv41,0,0,1,1,1
005fgpm31,0,0,1,0,0
005g07p37,0,0,1,0,0
005gjt698,0,0,1,0,0
005gkfa10,0,0,1,1,1
005h6qd35,0,0,1,0,0
005he3989,0,0,1,0,0
005hf4246,0,0,1,0,0
005jv5x16,0,0,1,0,0
005k0q572,0,0,1,0,0
005k7hp45,1,1,1,0,1
005k9c849,0,0,1,0,0
005mjtj84,0,0,1,0,0
005mpbw70,0,0,1,0,1
005nbjh06,0,0,1,0,0
005nxh826,0,0,1,0,0
005p9kw61,0,0,1,1,1
005pn5z34,0,0,1,0,0
005q8d646,0,0,1,0,0
005qv5373,0,0,1,0,1
005qzg609,0,0,1,0,0
005r2ww51,0,0,1,1,1
005rems48,0,0,1,0,0
005rvws84,0,0,1,0,0
005t9n460,0,0,1,0,0
005tsjq27,0,0,1,0,0
005vfwz38,0,0,1,0,0
005vjg312,0,0,1,0,0
005vq2n07,0,0,1,0,0
005vzbh90,0,0,1,0,0
005w9jb47,0,0,1,0,0
005x56091,1,1,1,1,1
005x9g035,0,0,1,0,1
005ypkf75,0,0,1,0,0
005ywsr52,0,0,1,0,0
005ywxj74,0,0,1,0,0
005yz5976,0,0,1,0,0
005z3e143,0,0,1,0,0
005zah758,0,0,1,0,0
005zfy155,0,0,1,0,0
005zjex51,0,0,1,0,0
00602gv86,0,0,1,0,0
00603mc70,0,0,1,0,0
0060vt104,0,0,1,0,1
00613ak93,0,0,1,0,0
0061x0487,0,0,1,0,0
0062skg93,0,0,1,0,0
0062tv278,0,0,1,0,0
0062tve42,0,0,1,0,0
00637yt37,0,0,1,0,0
0063dbm34,0,0,1,0,0
0063pqn40,0,0,1,0,0
0063tkv49,0,0,1,0,0
0064e3s97,0,0,1,0,0
0064kty71,1,1,1,1,0
0064w0326,0,0,1,0,0
0066fxv63,0,0,1,0,1
0066vpg85,0,0,1,0,1
006703856,0,0,1,0,0
006776986,1,1,1,0,1
0067fqk38,0,0,1,0,0
0067qp350,0,0,1,0,0
0068n3903,0,0,1,0,0
0069bkg23,1,1,1,0,1
0069psd02,0,0,1,0,0
006a4jj40,0,0,1,0,0
006ak0b38,0,0,1,0,1
006bmx089,0,0,1,0,0
006bvjm48,0,0,1,0,1
006c2dp67,0,0,1,0,0
006cjk069,0,0,1,0,0
006cvtz77,0,0,1,0,0
006cymg18,0,0,1,0,1
006dpe828,0,0,1,0,0
006dtpb58,0,0,1,0,0
006e5kg04,1,1,1,1,1
006ejbv88,0,0,1,0,0
006er0w72,0,0,1,0,0
006ffhv52,0,0,1,0,0
006fh5g40,0,0,1,0,1
006fs1j92,0,0,1,0,0
006g42111,0,0,1,0,0
006gksa02,1,1,1,1,1
006hbbw23,0,0,1,0,0
006hdqg38,0,0,1,0,0
006hf6230,1,1,1,1,1
006hvpn82,0,0,1,0,0
006jb1a24,1,1,1,1,1
006jxzx88,0,0,1,0,1
006k1pa70,0,0,1,0,0
006kf9d11,0,0,1,0,0
006knb923,0,0,1,0,0
006kr7r70,0,0,1,0,0
006ks2460,0,0,1,0,1
006m74d95,0,0,1,0,0
006maft66,0,0,1,0,0
006nc8n95,0,0,1,0,1
006pak935,0,0,1,0,0
006pnw132,0,0,1,0,0
006pshn89,0,0,1,0,0
006ptez88,0,0,1,0,0
006pvfx30,0,0,1,0,0
006pw7k84,0,0,1,0,0
006pyvd89,0,0,1,0,1
006qk6d61,0,0,1,0,0
006qssd78,0,0,1,0,1
006qz8583,0,0,1,0,0
006sgpv47,0,0,1,0,0
006sha924,0,0,1,0,0
006sm2430,0,0,1,0,0
006strx72,0,0,1,0,0
006sv2266,0,0,1,0,0
006t60p65,0,0,1,0,0
006teas31,1,1,1,1,1
006thab72,0,0,1,0,0
006tnfe02,0,0,1,0,1
006tpsn23,0,0,1,0,0
006v63s16,0,0,1,0,0
006vs7897,0,0,1,1,0
006vvm489,0,0,1,0,0
006wqrx41,0,0,1,0,0
006x4sc24,1,1,1,1,0
006xbp572,0,0,1,0,0
006xg2x43,0,0,1,0,0
006yrbb28,0,0,1,0,0
006yvnr95,0,0,1,1,1
006zjws59,0,0,1,1,0
006zzfd13,0,0,1,0,0
00708jp83,0,0,1,1,1
0070j0q91,0,0,1,1,0
00717c553,0,0,1,0,0
0071qz696,0,0,1,1,1
00720xw25,0,0,1,0,0
0072dxg89,0,0,1,0,0
0072e5x58,0,0,1,0,0
0072zz521,1,1,1,1,0
00746ch50,0,0,1,0,0
00749za89,0,0,1,0,0
0074grg94,0,0,1,0,1
007530q75,0,0,1,0,0
0075f1c08,0,0,1,0,0
0075gfd51,0,0,1,1,0
0075h8406,0,0,1,0,0
00768sz96,0,0,1,0,0
0076zct58,0,0,1,0,0
007736j10,0,0,1,0,0
0077bqh92,0,0,1,0,0
0077ex633,0,0,1,0,0
0077k1j32,1,1,1,0,0
0077saz97,0,0,1,0,0
0077sy889,0,0,1,0,0
007847151,0,0,1,0,0
0078bd381,0,0,1,0,0
0078tmr20,0,0,1,0,0
0078v1m45,0,0,1,0,0
0078xmk34,1,1,1,0,0
00791c793,0,0,1,0,0
0079gpv38,0,0,1,1,0
0079jgp14,0,0,1,0,0
007a2j788,0,0,1,0,0
007a35n65,0,0,1,0,0
007aah170,0,0,1,0,0
007avbc90,0,0,1,0,0
007b9cn27,0,0,1,0,0
007bw6q41,0,0,1,0,0
007c43p06,0,0,1,0,0
007chxf81,0,0,1,0,0
007cnf143,0,0,1,0,1
007cx7r28,0,0,1,0,0
007dga614,0,0,1,0,0
007e69832,0,0,1,0,1
007evha27,0,0,1,0,0
007eyd925,0,0,1,0,0
007f1da21,0,0,1,1,1
007fenw03,0,0,1,0,0
007fpb915,0,0,1,0,0
007fxh757,0,0,1,0,0
007g4ze80,0,0,1,0,0
007gerq75,0,0,1,0,1
007gf6e19,0,0,1,0,1
007gfwn20,0,0,1,0,0
007gj5v75,0,0,1,0,1
007h1g065,0,0,1,0,1
007h7f935,0,0,1,0,0
007h8y788,0,0,1,0,0
007hp0t61,0,0,1,0,0
007j5qg12,0,0,1,0,0
007jfm765,0,0,1,0,1
007jk3x13,0,0,0,0,1
007k0m436,0,0,1,0,0
007kf5222,0,0,1,0,0
007mhqn04,0,0,1,0,0
007mntk44,1,1,1,0,1
007n0ss86,0,0,1,0,0
007paj431,0,0,1,0,0
007pr2d48,0,0,1,0,0
007q4yk54,0,0,1,0,0
007qdam28,0,0,1,0,0
007qxz427,0,0,1,0,0
007r42p71,0,0,1,0,0
007r4ws88,0,0,1,0,0
007rxxd52,0,0,1,0,0
007s7qx27,0,0,1,0,0
007sfrj26,0,0,1,0,1
007sts724,0,0,1,0,0
007t3j908,0,0,1,0,0
007t9h129,0,0,1,0,0
007tbc964,0,0,1,0,0
007tn5k56,0,0,1,0,1
007v4hf75,0,0,1,0,1
007vwze84,0,0,1,0,0
007vzmy24,0,0,1,0,0
007wym039,0,0,1,0,1
007y6q934,0,0,1,0,0
007ygn379,0,0,1,0,0
007ywhm20,0,0,1,0,1
007zp0p53,0,0,1,0,0
007zpd132,0,0,1,0,0
00800dw77,0,0,1,0,1
0080fxk18,0,0,1,0,1
0080y7t67,0,0,1,0,0
008102z14,0,0,1,0,0
00811aj93,0,0,1,0,0
00812tr26,0,0,1,0,0
0081fs513,1,1,1,1,1
0081xr281,0,0,1,0,0
0082ybm03,0,0,1,0,0
0082yr561,0,0,1,0,0
00839we02,0,0,1,0,1
00840ea57,0,0,1,0,1
0084njv03,0,0,1,0,0
0084z7g54,0,0,1,0,0
00854zy02,0,0,1,0,0
0085d9t86,0,0,1,0,1
0085esk58,0,0,1,0,0
0085j8z36,0,0,1,0,1
0085wxm22,0,0,1,0,0
0085x3f43,0,0,1,0,0
00863x694,0,0,1,0,0
0086rpr26,0,0,1,1,1
008754496,0,0,1,0,0
0087jna26,0,0,1,0,0
0087m7494,0,0,1,0,0
0087wh857,0,0,1,0,0
008836v19,0,0,1,0,0
00892tw58,1,1,1,1,1
0089fq749,0,0,1,0,0
008a8z393,0,0,1,0,0
008a9hf75,0,0,1,0,0
008aa2j83,0,0,1,0,0
008atfr08,0,0,1,0,0
008axfh28,0,0,1,0,0
008b3ap06,0,0,1,0,0
008bb2h75,0,0,1,0,0
008bbzm95,0,0,1,0,0
008bp5f48,0,0,1,0,0
008bwpw24,0,0,1,0,0
008bzz504,0,0,1,0,0
008cmk776,0,0,1,0,0
008cmt298,0,0,1,0,0
008d6q968,0,0,1,0,0
008d6qw11,0,0,1,0,0
008dewj11,0,0,1,0,0
008dffq15,0,0,1,0,0
008dh2426,0,0,1,1,1
