ror,region,lr,lroe,coki,qs,sir
001be0c19,Americas,0,0,1,0,0
001bvc968,Americas,0,0,1,0,0
001bx3s75,Asia,0,0,1,0,0
001bzc417,Asia,0,0,1,0,0
001c2sn75,Europe,0,0,1,0,1
001c8fh75,Americas,0,0,1,0,0
001c8pb03,Europe,0,0,1,0,0
001c9gn96,Americas,0,0,1,0,0
001cbt815,Americas,0,0,1,0,0
001ccf545,Asia,0,0,1,0,0
001cf8537,Americas,0,0,1,0,0
001chpb97,Asia,0,0,1,0,0
001cj5727,Americas,0,0,1,0,0
001cwea56,Europe,0,0,1,0,1
001d11g88,Europe,0,0,1,0,0
001d2bp15,Americas,0,0,1,0,0
001d3rx39,Americas,0,0,1,0,0
001d5wc61,Europe,0,0,1,0,0
001d8ym38,Americas,0,0,1,0,0
001dd4s60,Europe,0,0,1,0,0
001drnv35,Asia,0,0,1,0,1
001dvnn52,Europe,0,0,1,0,0
001dw2225,Europe,0,0,1,0,0
001e26h79,Europe,0,0,1,0,0
001e5z833,Asia,0,0,1,0,0
001ecav82,Americas,0,0,1,0,0
001edfm43,Europe,0,0,1,0,0
001ekgz09,Asia,0,0,1,0,0
001eqde88,Asia,0,0,1,0,0
001et3313,Europe,0,0,1,0,0
001et4e78,Asia,0,0,1,0,1
001f39w38,Europe,0,0,1,0,0
001f6wc07,Europe,0,0,1,0,0
001f7a930,Europe,0,0,1,0,0
001f9e125,Asia,1,1,1,0,1
001fg0044,Europe,0,0,1,0,0
001fphc23,Africa,0,0,1,0,0
001fypf81,Americas,0,0,1,0,0
001g1zs59,Asia,0,0,1,0,0
001g2fj96,Asia,0,0,1,1,1
001g2x261,Europe,0,0,1,0,0
001g69757,Americas,0,0,1,0,0
001g7ce71,Europe,0,0,1,0,0
001g7jx32,Americas,0,0,1,0,0
001g9gn21,Americas,0,0,1,0,0
001g9ww12,Europe,0,0,1,0,0
001gbdr73,Asia,0,0,1,0,0
001gdnj66,Europe,0,0,1,0,0
001ggbx22,Asia,0,0,1,0,0
001ghdf98,Americas,0,0,1,0,0
001gk4004,Europe,0,0,1,0,0
001gmya32,Americas,0,0,1,0,0
001gpfp45,Americas,0,0,1,1,0
001gw2c60,Asia,0,0,1,0,0
001h41c24,Americas,0,0,1,0,0
001hawd46,Asia,0,0,1,0,0
001hc9y40,Europe,0,0,1,0,0
001hkh847,Asia,0,0,1,0,0
001hpw566,Americas,0,0,1,0,0
001hsnn10,Americas,0,0,1,0,0
001htc678,Europe,0,0,1,0,0
001hv0k59,Asia,0,0,1,0,1
001hybq57,Americas,0,0,1,0,0
001hz0050,Americas,0,0,1,0,0
001j26r80,Oceania,0,0,1,0,0
001jdxs64,Americas,0,0,1,0,0
001jk8698,Europe,0,0,1,0,0
001jx2139,Europe,0,0,1,0,0
001k0r742,Americas,0,0,1,0,0
001kjn539,Oceania,0,0,1,0,1
001ksx577,Americas,0,0,1,0,0
001kv2y39,Asia,0,0,1,0,1
001kwas94,Europe,0,0,1,0,0
001m0em47,Europe,0,0,1,0,0
001m1hv61,Americas,0,0,1,0,1
001m5qg34,Europe,0,0,1,0,0
001m7ja14,Europe,0,0,1,0,0
001m9wh67,Asia,0,0,1,0,0
001mf9v16,Africa,0,0,1,0,1
001mm6w73,Europe,0,0,1,0,0
001mpn042,Americas,0,0,1,0,0
001ms2r47,Americas,0,0,1,0,0
001mse034,Asia,0,0,1,0,0
001mzze07,Asia,0,0,1,0,0
001n0zm21,Americas,0,0,1,0,0
001n2yb14,Europe,0,0,1,0,0
001n36p86,Europe,0,0,1,0,0
001n7ee52,Europe,0,0,1,0,0
001nkz398,Europe,0,0,1,0,0
001nq7s39,Americas,0,0,1,0,0
001nta019,Europe,0,0,1,0,0
001nzxd62,Asia,0,0,1,0,0
001p2e958,Americas,0,0,1,0,0
001p3jz28,Asia,1,1,1,1,0
001p58g30,Europe,0,0,1,0,0
001pe5g24,Americas,0,0,1,0,1
001pe6j19,Americas,0,0,1,0,0
001pj0680,Europe,0,0,1,0,0
001pma463,Africa,0,0,1,0,0
001pprn90,Africa,0,0,1,0,0
001pvd496,Asia,0,0,1,0,0
001q2kp78,Americas,0,0,1,0,0
001q3y090,Europe,0,0,1,0,0
001q4kn48,Africa,1,1,1,1,0
001qfrp14,Americas,0,0,1,0,0
